bucket_key,knife_model_id,knife_name,match_mode,handle_bucket,blade_bucket,strict_blade,ordered_qty,inventory_qty,gap_ordered_minus_inventory,order_examples,inventory_item_ids
fb:334:orange/black:*,334,Badrock,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 402536 2025-11-29 qty=1 | BADROCK - ORANGE & BLACK,242
fb:306:coyote:black,306,Battle Goat,model_handle_blade_bb_tactical_only,coyote,black,no,1,1,0,order 191391 2024-10-11 qty=1 | BATTLE GOAT - BLK/COY,227
fb:306:odgreen:coyote,306,Battle Goat,model_handle_blade_bb_tactical_only,odgreen,coyote,no,1,1,0,order 190830 2024-10-11 qty=1 | BATTLE GOAT - COY/OD,226
fb:283:orange/black:*,283,Beartooth,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 130066 2024-04-15 qty=1 | BEARTOOTH - PRO SKINNING BLADE - ORANGE & BLACK,196
fb:293:black:*,293,Bighorn Chef,model_handle_blade_bb_tactical_only,black,*,no,1,1,0,order 138935 2024-05-17 qty=1 | MKC CULINARY SET - BLACK,252
fb:293:orange/black:*,293,Bighorn Chef,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 138548 2024-05-17 qty=1 | MKC CULINARY SET - ORANGE & BLACK,253
fb:365:orange/black:*,365,Blackfoot 2.0 Mike Rowe Works,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 181871 2024-09-16 qty=1 | mikeroweWORKS - BLACKFOOT 2.0 / Orange & Black,233
fb:347:*:red,347,Blood Brothers Blackfoot 2.0,model_handle_blade_bb_tactical_only,*,red,no,2,2,0,order 147096 2024-06-14 qty=2 | BLOOD BROTHERS BLACKFOOT 2.0 - BLACK/RED,232
fb:349:*:red,349,Blood Brothers Mini Speedgoat 2.0,model_handle_blade_bb_tactical_only,*,red,no,1,1,0,order 271920 2025-03-07 qty=1 | BLOOD BROTHERS MINI-SPEEDGOAT 2.0 - BLACK/RED,223
fb:296:black:*,296,Boning Butcher Knife,model_handle_blade_bb_tactical_only,black,*,no,1,1,0,order 163309 2024-08-02 qty=1 | BONING BUTCHER KNIFE - BLACK,264
fb:297:black:*,297,Breaking Butcher Knife,model_handle_blade_bb_tactical_only,black,*,no,1,1,0,order 275547 2025-03-15 qty=1 | BREAKING BUTCHER KNIFE - BLACK,263
fb:291:black:*,291,Cattlemen Cleaver 2.0,model_handle_blade_bb_tactical_only,black,*,no,1,1,0,order 171145 2024-08-16 qty=1 | CATTLEMEN CLEAVER 2.0 - BLACK,259
fb:291:orange/black:*,291,Cattlemen Cleaver 2.0,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 171145 2024-08-16 qty=1 | CATTLEMEN CLEAVER 2.0 - ORANGE & BLACK,260
fb:358:*:*,358,Damascus Blackfoot 2.0,model_only_singleton_sku,*,*,no,1,1,0,order 411019 2025-12-05 qty=1 | VIP - DAMASCUS BLACKFOOT,255
fb:312:orange/black:*,312,Elkhorn Skinner,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 337829 2025-08-01 qty=1 | ELKHORN SKINNER - ORANGE & BLACK,218
fb:317:black:*,317,Fieldcraft Survival,model_handle_blade_bb_tactical_only,black,*,no,1,1,0,order 152802 2024-07-03 qty=1 | FIELDCRAFT SURVIVAL KNIFE - BLACK,238
